term_en,term_vi,abbr,definition,topics,confused_with
Positional Encoding,Mã hóa vị trí,,"Vectơ cộng thêm vào đầu vào để mô hình biết thứ tự/vị trí, vì bản thân Attention không phân biệt thứ tự.",Transformer/CLIP,
Post-hoc Explanation,Giải thích hậu kỳ,,"Mô hình được huấn luyện bình thường như hộp đen, sau đó dùng công cụ khác ước lượng từ bên ngoài xem nó dựa vào đâu. Ví dụ: LIME, SHAP, Grad-CAM.",XAI,Intrinsic — đây là trục phân loại quan trọng nhất để định vị CBM.
Posterior Collapse,Sụp đổ hậu nghiệm,,"Lỗi thường gặp khi huấn luyện VAE: Decoder quá mạnh nên bỏ qua z hoàn toàn, KL bị đẩy về 0 và latent space mất hết thông tin. Khắc phục bằng KL annealing.",Autoencoder,
Pre-training / Fine-tuning,Tiền huấn luyện / Tinh chỉnh,,Pre-training là huấn luyện trước trên tập dữ liệu lớn tổng quát; fine-tuning là huấn luyện tiếp trên tập nhỏ chuyên biệt của bài toán cụ thể.,Deep Learning,
Precision,Độ chính xác dương tính,,"Trong số những gì mô hình lấy ra, bao nhiêu phần trăm là đúng. Công thức: TP / (TP + FP).",ML cơ bản,"Recall — Precision hỏi 'lấy ra có đúng không', Recall hỏi 'có bỏ sót không'."
Preprint,Tiền ấn phẩm,,"Bản thảo công bố công khai trước khi qua bình duyệt, ví dụ trên arXiv. Không có nghĩa là sai, nhưng phải đọc hoài nghi hơn. Luôn tra dblp xem bài sau này đăng chính thức ở đâu.",ML cơ bản,
Principal Component Analysis,Phân tích thành phần chính,PCA,"Kỹ thuật giảm chiều dữ liệu tuyến tính dựa trên trị riêng. Autoencoder dạng nông học được điều tương tự PCA, còn Deep Autoencoder mạnh hơn vì học được quan hệ phi tuyến.",Toán; ML cơ bản,
Prior / Posterior,Tiên nghiệm / Hậu nghiệm,,"Prior p(z) là phân phối giả định trước khi thấy dữ liệu — trong VAE thường chọn N(0,I). Posterior p(z|x) là phân phối sau khi đã quan sát dữ liệu x.",Toán; Autoencoder,
Prompt Engineering,Thiết kế câu nhắc,,"Việc chọn cách diễn đạt câu đầu vào để mô hình cho kết quả tốt nhất, ví dụ mẫu 'a photo of a {tên lớp}' trong CLIP.",Transformer/CLIP,
Prototype,Mẫu đại diện,,"Mẫu tiêu biểu của một lớp, dùng làm lời giải thích dạng 'giống với cái này'. Ví dụ: 'con chim này là hồng y vì nó giống các con hồng y trong tập huấn luyện'.",XAI,
Query / Key / Value,Truy vấn / Khóa / Giá trị,Q/K/V,"Ba vai trò trong Attention, ví như tra cứu thư viện: Query là câu hỏi, Key là nhãn trên sách, Value là nội dung sách.",Transformer/CLIP,
Recall,Độ bao phủ,,"Trong số những trường hợp đúng thực tế, mô hình tìm ra được bao nhiêu phần trăm. Công thức: TP / (TP + FN).",ML cơ bản,Precision
Receptive Field,Vùng tiếp nhận,,Vùng ảnh gốc mà một nơ-ron nhìn thấy. Càng ở lớp sâu thì vùng này càng rộng.,CNN,
Reconstruction Loss,Lỗi tái tạo,,Độ sai khác giữa dữ liệu gốc và dữ liệu được tái tạo ở đầu ra. Đây là hàm mục tiêu chính của mọi Autoencoder.,Autoencoder,
Regularization,Chính quy hóa / Ràng buộc,,Kỹ thuật thêm một số hạng phạt vào hàm Loss để hạn chế mô hình học vẹt. Sparse và Contractive Autoencoder đều dựa trên ý tưởng này.,ML cơ bản,
ReLU,Hàm kích hoạt ReLU,ReLU,"Rectified Linear Unit: f(x) = max(0, x). Giữ nguyên số dương, ép mọi số âm về 0. Là hàm kích hoạt mặc định cho lớp ẩn của CNN vì tạo được tính phi tuyến mà tính toán rất rẻ.",Deep Learning; CNN,"Sigmoid (dùng ở đầu ra khi cần giá trị trong [0,1]); LeakyReLU (cho phép số âm đi qua một chút để tránh nơ-ron chết)"
Reparameterization Trick,Mẹo tái tham số hóa,,"Kỹ thuật giúp VAE lan truyền ngược qua phép lấy mẫu ngẫu nhiên: lấy epsilon từ N(0,1) rồi tính z = mu + sigma * epsilon.",Autoencoder,
Representation Learning,Học biểu diễn,,"Lĩnh vực nghiên cứu về cách để máy tự học ra biểu diễn tốt cho dữ liệu, thay vì phải thiết kế đặc trưng thủ công. Autoencoder, CLIP và contrastive learning đều thuộc lĩnh vực này.",Deep Learning,"Feature Engineering — cách làm truyền thống, do con người tự thiết kế đặc trưng"
Residual Connection,Kết nối tắt,,"Đường nối cộng thẳng đầu vào của một khối vào đầu ra của nó, giúp huấn luyện được mạng rất sâu mà không bị triệt tiêu gradient.",Deep Learning; Transformer/CLIP,
ROC-AUC,Diện tích dưới đường cong ROC,AUC,"Đo khả năng phân biệt hai lớp của mô hình trên mọi ngưỡng. AUC = 1 là hoàn hảo, AUC = 0.5 tương đương đoán ngẫu nhiên.",ML cơ bản,
Root Mean Squared Error,Căn sai số toàn phương trung bình,RMSE,"Căn bậc hai của MSE, đưa đơn vị sai số về đúng đơn vị biến mục tiêu nên dễ diễn giải hơn.",ML cơ bản,
Saliency Map,Bản đồ nổi bật,,"Heatmap chỉ ra pixel nào quan trọng, tính bằng gradient của đầu ra theo từng pixel. Đã bị chỉ trích vì không vượt được sanity check.",XAI,
Self-Attention,Tự chú ý,,"Dạng Attention mà Q, K, V đều sinh ra từ cùng một chuỗi đầu vào - mô hình tự hỏi các phần của chính nó.",Transformer/CLIP,
Self-supervised Learning,Học tự giám sát,,Mô hình tự tạo nhãn từ chính dữ liệu đầu vào. Autoencoder thuộc nhóm này vì nó dùng chính đầu vào làm mục tiêu tái tạo.,ML cơ bản; Autoencoder,"Unsupervised Learning — self-supervised là một nhánh cụ thể, chính xác hơn khi nói về Autoencoder."
Sequential Bottleneck,Huấn luyện nối tiếp,,"Mạng thứ hai học trên KẾT QUẢ DỰ ĐOÁN khái niệm của mạng thứ nhất, nên quen với lỗi và nhiễu thực tế.",CBM,Independent — khác nhau ở chỗ dùng nhãn chuẩn hay dùng dự đoán.
SHAP / Shapley Value,Giá trị Shapley,,"Chia công bằng đóng góp của từng đặc trưng vào dự đoán, dựa trên lý thuyết trò chơi hợp tác. Ổn định hơn LIME nhưng tốn tính toán.",XAI,
Softmax,Hàm Softmax,,"Biến một vector logits bất kỳ thành các số dương cộng lại đúng bằng 1, đọc được như xác suất. Luôn là bước cuối của bài toán phân loại nhiều lớp.",Deep Learning; ML cơ bản,"Sigmoid — dùng cho phân loại nhị phân hoặc đa nhãn, các đầu ra KHÔNG cộng lại thành 1"
Sparse Autoencoder,Autoencoder thưa,SAE,Không ép nhỏ Bottleneck mà thêm ràng buộc thưa (L1 hoặc KL) để mỗi lần chỉ một số ít nơ-ron được kích hoạt.,Autoencoder,
Stride,Bước trượt,,Số pixel mà filter dịch chuyển mỗi lần. Stride lớn làm Feature Map nhỏ nhanh hơn nhưng dễ bỏ sót chi tiết.,CNN,
Supervised Learning,Học có giám sát,,Học từ dữ liệu đã có nhãn do con người gán sẵn.,ML cơ bản,
t-SNE,Kỹ thuật chiếu dữ liệu nhiều chiều xuống 2D,,"Phương pháp giảm chiều phi tuyến dùng để Vẽ latent space lên mặt phẳng. Lưu ý: chỉ bảo toàn quan hệ lân cận cục bộ, nên KÍCH THƯỚC cụm và KHOẢNG CÁCH giữa các cụm trên hình không mang ý nghĩa.",Deep Learning; ML cơ bản,"PCA — tuyến tính, bảo toàn cấu trúc toàn cục; UMAP — nhanh hơn và giữ cấu trúc toàn cục tốt hơn t-SNE"
TCAV,Kiểm thử bằng vectơ kích hoạt khái niệm,,Phương pháp post-hoc đo xem một khái niệm (ví dụ 'sọc') ảnh hưởng bao nhiêu đến dự đoán của một lớp. Là tiền đề trực tiếp của CBM.,XAI; CBM,
Test-time Intervention,Can thiệp lúc suy luận,,Chuyên gia sửa trực tiếp giá trị khái niệm bị dự đoán sai rồi cho mô hình tính lại nhãn cuối. Đây là khả năng độc đáo mà các phương pháp post-hoc không có.,CBM,
Transfer Learning,Học chuyển giao,,"Giữ nguyên phần trích xuất đặc trưng của một mạng đã huấn luyện trên tập dữ liệu lớn (ví dụ ImageNet), chỉ thay và huấn luyện lại vài lớp cuối cho bài toán mới. Hoạt động được vì phần Conv học đặc trưng dùng chung cho mọi loại ảnh.",Deep Learning; CNN,"Fine-tuning — là một cách làm transfer learning, trong đó mở khóa và huấn luyện lại cả phần backbone với learning rate rất nhỏ"
Transformer,Mạng Transformer,,"Kiến trúc dựa hoàn toàn trên cơ chế Attention, cho phép mọi phần tử trong chuỗi nhìn trực tiếp vào nhau và xử lý song song.",Transformer/CLIP,
Translation Invariance,Bất biến tịnh tiến,,Một đặc trưng dù xuất hiện ở vị trí nào trong ảnh vẫn được nhận diện như nhau.,CNN,
Transposed Convolution,Tích chập chuyển vị,,"Phép ngược của tích chập, dùng để tăng kích thước ảnh. Decoder của Convolutional Autoencoder dùng phép này để khôi phục kích thước gốc.",CNN; Autoencoder,Thường bị gọi sai là Deconvolution — thực ra không phải phép nghịch đảo toán học.
Undercomplete Autoencoder,Autoencoder thiếu đầy,,"Dạng cơ bản nhất: Bottleneck nhỏ hơn đầu vào, ép mô hình phải học đặc trưng thay vì sao chép.",Autoencoder,
Underfitting,Thiếu khớp,,Mô hình quá đơn giản hoặc bị ép nén quá mức nên không học được cả quy luật cơ bản. Ví dụ: Bottleneck quá nhỏ khiến ảnh tái tạo bị mờ.,ML cơ bản,Overfitting
Unsupervised Learning,Học không giám sát,,"Học từ dữ liệu không có nhãn, tự tìm ra cấu trúc ẩn bên trong.",ML cơ bản,
Vanishing Gradient,Gradient tiêu biến,,"Khi mạng quá sâu, gradient nhân dồn qua nhiều lớp và teo dần về gần 0, khiến các lớp đầu gần như không học được gì. Là lý do ra đời Residual Connection trong ResNet.",Deep Learning,"Exploding Gradient — hiện tượng ngược lại, gradient phình to gây NaN; khắc phục bằng gradient clipping"
Variational Autoencoder,Autoencoder biến phân,VAE,"Ánh xạ đầu vào thành một phân phối xác suất (mu, sigma) thay vì một điểm, nhờ đó Latent Space liên tục và sinh được dữ liệu mới.",Autoencoder,
Variational Inference,Suy luận biến phân,,Kỹ thuật dùng một phân phối đơn giản q(z|x) để XẤP XỈ một phân phối không tính được p(z|x). Chữ 'Variational' trong tên VAE đến từ đây.,Autoencoder; Toán,
Vector,Vectơ,,"Một dãy số có thứ tự, biểu diễn một điểm hoặc một hướng trong không gian. Trong đại số tuyến tính có thể xem Vector như danh từ.",Toán,
Vision Transformer,Transformer thị giác,ViT,Áp dụng Transformer cho ảnh bằng cách cắt ảnh thành các patch và coi mỗi patch như một từ trong chuỗi.,Transformer/CLIP,
Vision-Language Model,Mô hình thị giác – ngôn ngữ,VLM,Mô hình xử lý đồng thời ảnh và văn bản trong một không gian nhúng chung. CLIP và G-DINO là ví dụ. Được dùng để tự động chấm điểm khái niệm trong Label-free CBM.,Transformer/CLIP; CBM,
Weight Sharing,Chia sẻ trọng số,,"Cùng một filter được dùng cho mọi vị trí trên ảnh, giúp giảm mạnh số tham số cần huấn luyện so với lớp Dense.",CNN,
Zero-shot Learning,Học không mẫu,,"Mô hình phân loại được cả những lớp chưa từng được huấn luyện riêng, nhờ mô tả bằng ngôn ngữ tự nhiên.",Transformer/CLIP,
